tipo_celular,module_size,TIAL1_MM,TIAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.223,57.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,518.0,0.105,18.0,131,4,3.05,3.32 (2.27-4.37),127,96.95,3.07 (2.79-3.35)
astrocytes 5,1656.0,0.134,79.0,136,7,5.15,2.03 (1.01-3.06),129,94.85,3.28 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,58,16.43,2.09 (1.79-2.38),295,83.57,4.34 (4.16-4.51)
GABA neurons expressing GLU receptors 22,1069.0,0.256,95.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,229.0,0.267,90.0,22,4,18.18,3.97 (3.84-4.09),18,81.82,2.20 (1.54-2.85)
da like neurons 11,172.0,0.106,10.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.092,21.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,228.0,0.189,45.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,2402.0,0.045,1.0,455,30,6.59,1.96 (1.40-2.52),425,93.41,4.55 (4.37-4.73)
astrocytes 8,771.0,0.063,21.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,44,15.94,2.08 (1.79-2.36),232,84.06,3.91 (3.68-4.14)
oligodendrocytes 10,2107.0,0.1,29.0,358,63,17.6,2.07 (1.78-2.36),295,82.4,4.39 (4.21-4.57)
connective tissue cells 21,111.0,0.303,62.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,458.0,0.06,25.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,151.0,0.234,76.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.322,49.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,1807.0,0.193,100.0,104,27,25.96,1.96 (1.51-2.40),77,74.04,3.22 (2.90-3.53)
oligodendrocytes 0,613.0,0.155,61.0,127,21,16.54,2.57 (2.06-3.08),106,83.46,3.19 (2.68-3.70)
microglia 1,1615.0,0.123,69.0,161,48,29.81,2.00 (1.69-2.30),113,70.19,4.00 (3.72-4.29)
oligodendrocytes 3,681.0,0.104,59.0,87,45,51.72,2.21 (1.93-2.49),42,48.28,3.07 (2.60-3.53)
oligodendrocytes 2,921.0,0.139,53.0,200,8,4.0,3.64 (1.91-5.37),192,96.0,3.62 (3.35-3.89)
