tipo_celular,module_size,GORASP2_MM,GORASP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.281,77.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,624.0,0.21,86.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,31,8.78,2.53 (1.94-3.12),322,91.22,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,848.0,0.186,41.0,262,17,6.49,2.89 (2.21-3.57),245,93.51,4.29 (4.03-4.54)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,132.0,0.181,34.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,86.0,0.097,11.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,338.0,0.061,5.0,191,6,3.14,3.73 (2.40-5.05),185,96.86,3.89 (3.66-4.12)
oligodendrocytes 20,295.0,0.057,10.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.264,59.0,455,28,6.15,2.85 (2.24-3.45),427,93.85,4.48 (4.29-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,14,5.07,3.07 (2.30-3.84),262,94.93,3.57 (3.35-3.80)
oligodendrocytes 10,735.0,0.084,40.0,277,1,0.36,5.88 (NA-NA),276,99.64,3.88 (3.64-4.13)
connective tissue cells 21,139.0,0.397,95.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.249,69.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,518.0,0.061,3.0,122,26,21.31,2.55 (2.00-3.11),96,78.69,4.54 (4.11-4.98)
astrocytes microglia 23,101.0,0.345,65.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.126,75.0,238,6,2.52,3.11 (1.30-4.93),232,97.48,3.65 (3.43-3.87)
microglia 1,813.0,0.105,35.0,79,10,12.66,3.56 (2.86-4.26),69,87.34,3.03 (2.57-3.48)
oligodendrocytes 3,743.0,0.087,58.0,76,6,7.89,4.12 (3.42-4.81),70,92.11,3.07 (2.65-3.49)
oligodendrocytes 2,1630.0,0.165,90.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
