tipo_celular,module_size,FBXO9_MM,FBXO9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.11,17.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624,0.106,16.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.087,11.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.174,95.0,353,42,11.9,2.93 (2.48-3.38),311,88.1,4.05 (3.85-4.24)
GABA neurons expressing GLU receptors 22,823,0.119,15.0,23,5,21.74,2.83 (1.90-3.76),18,78.26,2.23 (1.29-3.17)
GLU like neurons 17,229,0.048,5.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,1220,0.105,17.0,410,18,4.39,3.22 (2.66-3.77),392,95.61,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,238,0.151,43.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.075,10.0,297,15,5.05,4.18 (3.50-4.87),282,94.95,3.66 (3.45-3.86)
oligodendrocytes 20,275,0.196,49.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.161,69.0,125,8,6.4,3.54 (2.91-4.17),117,93.6,3.34 (3.01-3.68)
astrocytes 8,262,0.121,43.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.08,51.0,276,38,13.77,3.00 (2.54-3.46),238,86.23,3.65 (3.40-3.89)
oligodendrocytes 10,806,0.046,6.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,106,0.314,70.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,458,0.137,70.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,65,0.138,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.111,36.0,124,12,9.68,4.01 (3.22-4.81),112,90.32,4.20 (3.78-4.62)
astrocytes microglia 23,101,0.262,22.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,787,0.169,81.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.115,51.0,238,19,7.98,3.52 (2.87-4.16),219,92.02,3.65 (3.41-3.88)
microglia 1,1615,0.092,25.0,161,40,24.84,3.02 (2.52-3.53),121,75.16,3.37 (3.05-3.68)
oligodendrocytes 3,681,0.084,40.0,87,16,18.39,2.37 (1.73-3.01),71,81.61,2.64 (2.33-2.94)
oligodendrocytes 2,921,0.116,18.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90)
