tipo_celular,module_size,NDUFS7_MM,NDUFS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.077,5.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,296.0,0.098,5.0,251,37,14.74,3.75 (3.54-3.95),214,85.26,4.15 (3.85-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.171,47.0,410,85,20.73,3.76 (3.49-4.03),325,79.27,4.42 (4.19-4.65)
GABA neurons expressing GABA receptors 13,417.0,0.223,81.0,213,93,43.66,3.33 (3.01-3.65),120,56.34,4.26 (3.90-4.61)
endothelial cells 9,916.0,0.298,71.0,302,69,22.85,3.88 (3.56-4.19),233,77.15,4.02 (3.73-4.31)
oligodendrocytes 20,938.0,0.256,90.0,169,55,32.54,3.57 (3.27-3.87),114,67.46,3.43 (3.13-3.73)
GABA like neurons 14,2402.0,0.436,83.0,455,84,18.46,3.46 (3.12-3.79),371,81.54,4.62 (4.41-4.83)
astrocytes 8,603.0,0.116,73.0,89,6,6.74,1.89 (1.05-2.74),83,93.26,2.85 (2.48-3.22)
oligodendrocyte progenitor cells 12,1049.0,0.186,82.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06)
oligodendrocytes 10,806.0,0.088,22.0,261,45,17.24,3.66 (3.27-4.05),216,82.76,4.56 (4.28-4.84)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.133,83.0,96,3,3.12,2.37 (1.85-2.89),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,104.0,0.196,37.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,729.0,0.227,83.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,108.0,0.323,53.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,208.0,0.113,5.0,173,2,1.16,3.39 (3.07-3.71),171,98.84,3.80 (3.50-4.11)
oligodendrocytes 0,546.0,0.23,75.0,252,73,28.97,3.28 (2.93-3.64),179,71.03,4.55 (4.25-4.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.12,44.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.373,79.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31)
