tipo_celular,module_size,TVP23A_MM,TVP23A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.087,4.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,12,3.4,2.75 (2.00-3.50),341,96.6,3.94 (3.75-4.13)
GABA neurons expressing GLU receptors 22,1069.0,0.214,82.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.287,96.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,215.0,0.259,68.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.2,79.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.058,24.0,66,2,3.03,1.10 (-0.65-2.86),64,96.97,3.30 (2.89-3.72)
oligodendrocyte progenitor cells 12,411.0,0.069,36.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.085,50.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.408,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.118,10.0,104,5,4.81,1.82 (0.56-3.08),99,95.19,2.92 (2.63-3.20)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
