tipo_celular,module_size,ASNS_MM,ASNS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,51.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.136,52.0,353,14,3.97,1.72 (1.13-2.30),339,96.03,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,848.0,0.15,24.0,262,4,1.53,1.09 (-0.05-2.24),258,98.47,4.23 (3.98-4.47)
GLU like neurons 17,380.0,0.183,57.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.129,28.0,410,7,1.71,3.72 (2.64-4.79),403,98.29,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,357.0,0.129,31.0,237,3,1.27,4.78 (4.78-4.78),234,98.73,4.40 (4.16-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.133,19.0,455,7,1.54,1.09 (0.48-1.70),448,98.46,4.41 (4.23-4.59)
astrocytes 8,520.0,0.102,43.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,11,3.99,1.49 (1.00-1.98),265,96.01,3.64 (3.43-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.292,51.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.07,33.0,105,10,9.52,1.64 (1.03-2.25),95,90.48,3.39 (3.05-3.74)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.168,70.0,235,6,2.55,3.26 (1.72-4.79),229,97.45,4.00 (3.75-4.25)
astrocytes microglia 23,125.0,0.38,85.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.139,39.0,104,8,7.69,1.39 (0.73-2.04),96,92.31,3.00 (2.71-3.28)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
