tipo_celular,module_size,SLC25A53_MM,SLC25A53_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.113,18.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.132,35.0,98,6,6.12,0.51 (0.32-0.70),92,93.88,3.31 (3.01-3.61)
astrocytes 5,1656.0,0.131,75.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,7,1.98,0.70 (0.30-1.10),346,98.02,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,459.0,0.1,21.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.097,23.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.088,14.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.065,10.0,275,6,2.18,0.51 (0.32-0.70),269,97.82,4.06 (3.81-4.32)
oligodendrocytes 20,330.0,0.028,4.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.104,21.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.06,15.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,1,0.36,1.82 (NA-NA),275,99.64,3.55 (3.33-3.77)
oligodendrocytes 10,2107.0,0.065,11.0,358,6,1.68,0.51 (0.32-0.70),352,98.32,3.94 (3.75-4.12)
connective tissue cells 21,101.0,0.188,9.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401.0,0.031,4.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,156.0,0.345,99.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.276,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.176,95.0,104,1,0.96,0.55 (NA-NA),103,99.04,2.89 (2.61-3.17)
oligodendrocytes 0,2078.0,0.118,57.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.093,26.0,161,7,4.35,0.70 (0.30-1.10),154,95.65,3.42 (3.16-3.68)
oligodendrocytes 3,854.0,0.071,28.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.151,70.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
