tipo_celular,module_size,POLR2F_MM,POLR2F_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.178,46.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.241,70.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.201,53.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.184,59.0,91,8,8.79,0.85 (0.08-1.61),83,91.21,5.04 (4.58-5.49)
da like neurons 11,408.0,0.319,76.0,25,2,8.0,1.61 (-1.03-4.24),23,92.0,4.95 (3.59-6.31)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.332,72.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.586,87.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,2090.0,0.155,51.0,74,8,10.81,2.12 (1.78-2.45),66,89.19,3.06 (2.64-3.48)
astrocytes 8,771.0,0.445,90.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.315,88.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.622,84.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.238,88.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.361,66.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.33,67.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,102.0,0.175,36.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261.0,0.183,49.0,42,3,7.14,1.44 (1.18-1.69),39,92.86,4.33 (3.64-5.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.335,94.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.352,91.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
