tipo_celular,module_size,PHC2_MM,PHC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.233,82.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,349.0,0.179,49.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,322.0,0.179,53.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,52,14.73,2.09 (1.77-2.41),301,85.27,4.30 (4.12-4.47)
GABA neurons expressing GLU receptors 22,823.0,0.154,33.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.165,66.0,135,17,12.59,1.66 (1.21-2.11),118,87.41,3.46 (3.13-3.78)
da like neurons 11,200.0,0.199,56.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.098,23.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,275.0,0.128,21.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.204,93.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67)
astrocytes 8,771.0,0.092,38.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,218.0,0.278,54.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107.0,0.186,65.0,358,58,16.2,2.15 (1.82-2.48),300,83.8,4.32 (4.14-4.50)
connective tissue cells 21,69.0,0.299,55.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.067,30.0,105,20,19.05,1.79 (1.34-2.24),85,80.95,3.58 (3.22-3.94)
oligodendrocytes 16,81.0,0.238,75.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.26,37.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,787.0,0.114,4.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.113,11.0,300,5,1.67,3.80 (3.14-4.45),295,98.33,3.79 (3.58-4.00)
microglia 1,813.0,0.164,84.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.123,79.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.16,30.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
