tipo_celular,module_size,NUB1_MM,NUB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.113,20.0,35,7,20.0,3.94 (3.28-4.60),28,80.0,3.68 (2.44-4.92)
T cells 18,610.0,0.165,61.0,98,36,36.73,2.34 (1.90-2.78),62,63.27,3.66 (3.28-4.04)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,45,12.75,2.59 (2.15-3.03),308,87.25,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,1069.0,0.218,83.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.066,8.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.094,13.0,410,19,4.63,3.98 (3.36-4.59),391,95.37,4.27 (4.07-4.46)
GABA neurons expressing GABA receptors 13,357.0,0.083,6.0,237,2,0.84,3.98 (2.73-5.23),235,99.16,4.41 (4.18-4.65)
endothelial cells 9,559.0,0.085,16.0,155,1,0.65,3.42 (NA-NA),154,99.35,4.35 (3.98-4.71)
oligodendrocytes 20,938.0,0.099,36.0,169,17,10.06,3.51 (2.84-4.18),152,89.94,3.48 (3.24-3.71)
GABA like neurons 14,2402.0,0.119,15.0,455,42,9.23,3.39 (2.77-4.01),413,90.77,4.48 (4.29-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.094,68.0,276,40,14.49,2.77 (2.37-3.17),236,85.51,3.72 (3.48-3.97)
oligodendrocytes 10,806.0,0.042,5.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,126.0,0.219,14.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,85.0,0.257,73.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.093,30.0,122,16,13.11,2.51 (1.76-3.25),106,86.89,4.30 (3.88-4.71)
astrocytes microglia 23,58.0,0.272,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,63.0,238,12,5.04,3.62 (2.79-4.44),226,94.96,3.64 (3.41-3.87)
microglia 1,1615.0,0.132,79.0,161,37,22.98,2.42 (1.93-2.90),124,77.02,3.61 (3.31-3.90)
oligodendrocytes 3,681.0,0.068,23.0,87,24,27.59,2.06 (1.61-2.51),63,72.41,2.81 (2.48-3.13)
oligodendrocytes 2,1630.0,0.152,72.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
