tipo_celular,module_size,COL11A1_MM,COL11A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.106,19.0,166,6,3.61,1.36 (0.54-2.18),160,96.39,3.48 (3.23-3.73)
oligodendrocyte progenitor cells 7,436.0,0.062,9.0,219,7,3.2,3.34 (2.65-4.03),212,96.8,5.31 (5.01-5.60)
GABA neurons expressing GLU receptors 22,703.0,0.15,29.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,200.0,0.328,88.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.144,42.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,218.0,0.061,34.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,411.0,0.198,58.0,103,5,4.85,3.93 (2.66-5.20),98,95.15,5.66 (5.26-6.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.35,76.0,32,4,12.5,5.27 (4.20-6.34),28,87.5,5.10 (4.38-5.82)
astrocytes 15,377.0,0.194,78.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.368,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.108,5.0,104,10,9.62,2.03 (1.14-2.92),94,90.38,2.96 (2.67-3.25)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
