tipo_celular,module_size,SCN2A_MM,SCN2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.171,72.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,487.0,0.096,5.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,795.0,0.184,72.0,80,15,18.75,4.63 (3.68-5.57),65,81.25,5.94 (5.51-6.37)
da like neurons 11,132.0,0.417,88.0,12,10,83.33,4.14 (3.37-4.92),2,16.67,5.90 (NA-NA)
GABA neurons expressing GABA receptors 13,265.0,0.41,98.0,78,7,8.97,3.28 (2.41-4.14),71,91.03,4.50 (4.06-4.94)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.086,7.0,306,68,22.22,3.46 (3.09-3.84),238,77.78,5.72 (5.44-6.00)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,138.0,0.537,92.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.241,99.0,122,20,16.39,3.10 (2.27-3.93),102,83.61,4.19 (3.75-4.62)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
