tipo_celular,module_size,TAF1B_MM,TAF1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.121,25.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,624.0,0.235,93.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.125,65.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,37,10.48,1.63 (1.32-1.93),316,89.52,4.25 (4.08-4.42)
GABA neurons expressing GLU receptors 22,1069.0,0.15,40.0,37,3,8.11,1.90 (1.43-2.38),34,91.89,2.18 (1.68-2.68)
GLU like neurons 17,489.0,0.072,9.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,61.0,0.355,62.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.138,49.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,727.0,0.046,7.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,28,10.14,1.79 (1.51-2.06),248,89.86,3.81 (3.59-4.03)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,69.0,0.37,81.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.021,2.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.318,52.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.148,57.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.099,27.0,79,2,2.53,5.19 (3.64-6.74),77,97.47,3.04 (2.64-3.45)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
