tipo_celular,module_size,ODF2L_MM,ODF2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.12,19.0,102,5,4.9,1.59 (0.75-2.44),97,95.1,3.60 (3.23-3.97)
T cells 18,518.0,0.153,49.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,499.0,0.143,39.0,32,5,15.62,4.56 (4.33-4.79),27,84.38,5.17 (4.54-5.80)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,20,5.67,2.24 (1.46-3.02),333,94.33,4.01 (3.82-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.195,72.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.145,68.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,200.0,0.163,40.0,8,2,25.0,NA,6,75.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.172,37.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,271.0,0.238,74.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.118,13.0,306,17,5.56,3.22 (2.26-4.19),289,94.44,5.25 (4.99-5.51)
astrocytes 8,771.0,0.063,20.0,48,3,6.25,4.49 (0.86-8.11),45,93.75,4.43 (3.65-5.20)
oligodendrocyte progenitor cells 12,708.0,0.08,33.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107.0,0.088,22.0,358,20,5.59,1.76 (1.04-2.49),338,94.41,4.01 (3.83-4.20)
connective tissue cells 21,102.0,0.173,1.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA)
astrocytes 15,1768.0,0.112,73.0,105,5,4.76,1.79 (0.92-2.67),100,95.24,3.29 (2.95-3.63)
oligodendrocytes 16,90.0,0.18,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.222,12.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.151,49.0,65,8,12.31,4.27 (3.68-4.86),57,87.69,2.79 (2.37-3.20)
oligodendrocytes 0,2078.0,0.13,82.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,480.0,0.126,15.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98)
oligodendrocytes 3,639.0,0.061,18.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83)
oligodendrocytes 2,804.0,0.122,15.0,84,9,10.71,2.80 (1.73-3.87),75,89.29,2.67 (2.32-3.03)
