tipo_celular,module_size,LHPP_MM,LHPP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.28,78.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.247,91.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.103,42.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,20,5.67,1.52 (0.98-2.06),333,94.33,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,703.0,0.263,88.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1247.0,0.149,61.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,172.0,0.185,37.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.216,84.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2090.0,0.127,31.0,74,4,5.41,2.53 (NA-NA),70,94.59,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.056,22.0,66,13,19.7,1.63 (0.95-2.31),53,80.3,3.70 (3.28-4.11)
oligodendrocyte progenitor cells 12,708.0,0.169,71.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.115,55.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.035,5.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,199.0,0.203,76.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.23,4.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,787.0,0.156,59.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,546.0,0.126,24.0,252,13,5.16,1.29 (0.72-1.86),239,94.84,4.30 (4.06-4.53)
microglia 1,1615.0,0.068,3.0,161,20,12.42,1.52 (0.98-2.06),141,87.58,3.55 (3.28-3.82)
oligodendrocytes 3,303.0,0.082,22.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.241,44.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
