tipo_celular,module_size,XAF1_MM,XAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.473,99.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,282.0,0.261,93.0,12,1,8.33,4.91 (NA-NA),11,91.67,3.16 (1.97-4.34)
astrocytes 5,1656.0,0.068,2.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.311,80.0,120,3,2.5,2.69 (1.56-3.81),117,97.5,4.66 (4.35-4.98)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.115,72.0,89,5,5.62,1.20 (0.96-1.45),84,94.38,2.89 (2.53-3.25)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,93.0,0.32,72.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,261.0,0.161,57.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.265,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.111,3.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.128,36.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
