tipo_celular,module_size,ADPGK_MM,ADPGK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.142,9.0,21,6,28.57,0.64 (0.20-1.08),15,71.43,3.01 (2.47-3.55)
T cells 18,610.0,0.088,8.0,98,15,15.31,1.63 (0.87-2.39),83,84.69,3.43 (3.12-3.73)
astrocytes 5,1656.0,0.106,35.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,20,5.67,1.99 (1.30-2.69),333,94.33,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,795.0,0.095,27.0,80,2,2.5,4.07 (4.07-4.07),78,97.5,5.74 (5.32-6.16)
da like neurons 11,204.0,0.098,17.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.073,35.0,33,4,12.12,3.65 (3.00-4.29),29,87.88,2.59 (2.06-3.13)
GABA like neurons 14,3052.0,0.091,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.037,4.0,66,10,15.15,1.76 (0.72-2.80),56,84.85,3.54 (3.13-3.95)
oligodendrocyte progenitor cells 12,708.0,0.039,7.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,2107.0,0.138,47.0,358,17,4.75,1.90 (1.10-2.69),341,95.25,3.99 (3.81-4.18)
connective tissue cells 21,118.0,0.245,20.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,418.0,0.032,10.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,158.0,0.237,75.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,518.0,0.071,9.0,122,15,12.3,2.17 (1.44-2.90),107,87.7,4.34 (3.93-4.74)
astrocytes microglia 23,121.0,0.214,5.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.14,41.0,104,13,12.5,2.41 (1.64-3.18),91,87.5,2.93 (2.63-3.23)
oligodendrocytes 0,2078.0,0.113,47.0,238,5,2.1,2.44 (0.77-4.10),233,97.9,3.67 (3.45-3.89)
microglia 1,480.0,0.094,4.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003.0,0.053,7.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
