tipo_celular,module_size,PDE5A_MM,PDE5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.217,70.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.224,77.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.193,43.0,262,13,4.96,2.23 (1.54-2.92),249,95.04,4.28 (4.03-4.53)
GLU like neurons 17,795.0,0.07,10.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,168.0,0.283,81.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.437,84.0,62,1,1.61,NA,61,98.39,4.05 (3.60-4.49)
oligodendrocytes 20,348.0,0.336,93.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.495,88.0,455,7,1.54,1.24 (0.22-2.26),448,98.46,4.39 (4.20-4.57)
astrocytes 8,727.0,0.164,79.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049.0,0.189,83.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,1277.0,0.125,62.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.281,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.304,98.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,61.0,0.221,57.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.363,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208.0,0.219,63.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,86.0,0.229,83.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.209,98.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.303,61.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
