tipo_celular,module_size,ERP29_MM,ERP29_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.136,28.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506.0,0.202,56.0,225,20,8.89,2.91 (2.22-3.60),205,91.11,3.71 (3.44-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.278,77.0,410,26,6.34,3.90 (3.20-4.60),384,93.66,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,73.0,0.294,98.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916.0,0.223,55.0,302,5,1.66,2.13 (0.88-3.38),297,98.34,4.02 (3.80-4.25)
oligodendrocytes 20,221.0,0.153,30.0,12,1,8.33,5.75 (NA-NA),11,91.67,2.05 (0.47-3.62)
GABA like neurons 14,2402.0,0.661,98.0,455,42,9.23,3.16 (2.52-3.79),413,90.77,4.51 (4.33-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.203,89.0,277,4,1.44,5.79 (4.75-6.82),273,98.56,3.86 (3.61-4.10)
connective tissue cells 21,118.0,0.39,87.0,2,1,50.0,6.60 (NA-NA),1,50.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.157,23.0,291,25,8.59,3.83 (3.15-4.51),266,91.41,4.39 (4.15-4.63)
da neurons 6,409.0,0.22,82.0,235,7,2.98,2.26 (1.07-3.45),228,97.02,4.04 (3.79-4.29)
astrocytes microglia 23,137.0,0.364,48.0,188,14,7.45,1.57 (1.07-2.07),174,92.55,4.67 (4.34-5.00)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.121,21.0,252,29,11.51,2.60 (1.84-3.37),223,88.49,4.36 (4.12-4.60)
microglia 1,406.0,0.184,51.0,278,4,1.44,5.91 (5.21-6.61),274,98.56,4.34 (4.06-4.61)
oligodendrocytes 3,457.0,0.14,62.0,345,34,9.86,3.97 (3.45-4.49),311,90.14,4.32 (4.09-4.55)
oligodendrocytes 2,526.0,0.249,46.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
