tipo_celular,module_size,C1S_MM,C1S_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.166,48.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,4,1.13,2.06 (0.95-3.17),349,98.87,3.92 (3.73-4.10)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.151,39.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.125,75.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.076,48.0,276,5,1.81,2.06 (0.95-3.17),271,98.19,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.465,73.0,158,2,1.27,0.55 (NA-NA),156,98.73,4.29 (3.92-4.65)
astrocytes 15,1768.0,0.16,94.0,105,4,3.81,2.06 (0.95-3.17),101,96.19,3.26 (2.92-3.60)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.287,59.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.181,54.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
