tipo_celular,module_size,TBC1D17_MM,TBC1D17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.068,2.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.096,8.0,353,22,6.23,2.58 (1.70-3.45),331,93.77,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.189,47.0,12,1,8.33,6.09 (NA-NA),11,91.67,2.01 (0.48-3.54)
GABA like neurons 14,2402.0,0.102,9.0,455,17,3.74,2.23 (1.43-3.04),438,96.26,4.46 (4.27-4.64)
astrocytes 8,603.0,0.043,14.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.036,6.0,235,3,1.28,3.18 (3.18-3.18),232,98.72,3.83 (3.60-4.07)
oligodendrocytes 10,204.0,0.033,3.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.035,14.0,54,3,5.56,5.16 (5.16-5.16),51,94.44,3.58 (3.13-4.04)
oligodendrocytes 16,82.0,0.321,93.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,70.0,0.324,41.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,1807.0,0.135,32.0,104,7,6.73,2.01 (0.78-3.23),97,93.27,2.93 (2.64-3.21)
oligodendrocytes 0,2078.0,0.094,13.0,238,5,2.1,2.47 (1.10-3.84),233,97.9,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.044,5.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.15,67.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
