tipo_celular,module_size,LRRC28_MM,LRRC28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.116,6.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,624.0,0.112,19.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.125,65.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09)
GABA neurons expressing GLU receptors 22,714.0,0.228,73.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.128,55.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,204.0,0.318,88.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.105,31.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.151,44.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.22,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.039,5.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,2107.0,0.093,25.0,358,4,1.12,0.73 (0.37-1.08),354,98.88,3.91 (3.72-4.10)
connective tissue cells 21,96.0,0.266,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.136,86.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58)
oligodendrocytes 16,71.0,0.151,26.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.291,48.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,787.0,0.161,69.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.116,18.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.136,81.0,161,1,0.62,0.21 (NA-NA),160,99.38,3.30 (3.03-3.56)
oligodendrocytes 3,1003.0,0.094,49.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.133,28.0,84,1,1.19,0.21 (NA-NA),83,98.81,2.73 (2.39-3.06)
