tipo_celular,module_size,CAMKK2_MM,CAMKK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.295,81.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.101,29.0,101,5,4.95,4.79 (3.15-6.44),96,95.05,2.94 (2.59-3.28)
da like neurons 11,265.0,0.106,16.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.064,10.0,275,52,18.91,2.18 (1.87-2.49),223,81.09,4.62 (4.35-4.89)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.142,42.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,86.0,0.27,43.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.332,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.053,1.0,161,64,39.75,2.58 (2.20-2.96),97,60.25,3.93 (3.61-4.24)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
