tipo_celular,module_size,UNKL_MM,UNKL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.186,73.0,98,4,4.08,1.67 (0.28-3.06),94,95.92,3.19 (2.87-3.51)
astrocytes 5,1656.0,0.091,15.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,5,1.42,1.45 (0.29-2.61),348,98.58,3.93 (3.75-4.12)
GABA neurons expressing GLU receptors 22,400.0,0.232,70.0,24,3,12.5,1.58 (-0.37-3.52),21,87.5,2.24 (1.71-2.77)
GLU like neurons 17,380.0,0.266,94.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,215.0,0.14,30.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.146,44.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,520.0,0.039,7.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,254.0,0.051,15.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.204,34.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,1768.0,0.053,16.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.089,21.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,131.0,0.269,26.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.147,55.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
