tipo_celular,module_size,RBM4B_MM,RBM4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,49,13.88,1.99 (1.65-2.33),304,86.12,4.29 (4.11-4.46)
GABA neurons expressing GLU receptors 22,848.0,0.124,12.0,262,10,3.82,2.87 (1.58-4.16),252,96.18,4.23 (3.98-4.48)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.047,20.0,110,4,3.64,0.90 (0.75-1.04),106,96.36,5.16 (4.73-5.58)
GABA like neurons 14,2402.0,0.28,62.0,455,34,7.47,2.10 (1.64-2.56),421,92.53,4.60 (4.42-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.057,22.0,235,7,2.98,3.42 (2.78-4.06),228,97.02,3.84 (3.60-4.08)
oligodendrocytes 10,735.0,0.025,2.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,92.0,0.319,69.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.16,37.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.364,72.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.099,9.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.094,65.0,76,1,1.32,5.34 (NA-NA),75,98.68,3.13 (2.73-3.52)
oligodendrocytes 2,1630.0,0.152,71.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.25 (2.98-3.52)
