tipo_celular,module_size,GTF3C3_MM,GTF3C3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.228,64.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518.0,0.056,1.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.125,66.0,136,7,5.15,1.52 (1.26-1.78),129,94.85,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,38,10.76,1.76 (1.37-2.14),315,89.24,4.23 (4.05-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.13,56.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,132.0,0.22,46.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.082,24.0,275,30,10.91,1.55 (1.21-1.90),245,89.09,4.40 (4.15-4.65)
oligodendrocytes 20,938.0,0.085,29.0,169,7,4.14,1.80 (0.77-2.82),162,95.86,3.57 (3.35-3.79)
GABA like neurons 14,3052.0,0.118,32.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,218.0,0.055,28.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708.0,0.052,17.0,32,7,21.88,1.09 (0.14-2.03),25,78.12,3.97 (3.14-4.80)
oligodendrocytes 10,2107.0,0.079,16.0,358,36,10.06,1.70 (1.33-2.06),322,89.94,4.19 (4.01-4.37)
connective tissue cells 21,110.0,0.119,0.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,261.0,0.278,92.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,90.0,0.183,31.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.312,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.175,94.0,104,25,24.04,1.68 (1.30-2.05),79,75.96,3.28 (2.98-3.58)
oligodendrocytes 0,2078.0,0.147,97.0,238,6,2.52,2.32 (0.69-3.94),232,97.48,3.67 (3.45-3.89)
microglia 1,958.0,0.115,57.0,290,3,1.03,2.29 (0.87-3.72),287,98.97,3.83 (3.60-4.06)
oligodendrocytes 3,681.0,0.077,33.0,87,25,28.74,1.63 (1.32-1.94),62,71.26,3.02 (2.71-3.32)
oligodendrocytes 2,1630.0,0.172,95.0,154,3,1.95,4.17 (1.97-6.36),151,98.05,3.22 (2.96-3.49)
