tipo_celular,module_size,RAB30_MM,RAB30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.278,99.0,98,9,9.18,0.90 (0.30-1.51),89,90.82,3.37 (3.07-3.67)
astrocytes 5,156.0,0.123,35.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.248,85.0,127,2,1.57,2.07 (2.05-2.09),125,98.43,3.87 (3.53-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.223,57.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,637.0,0.177,57.0,91,12,13.19,1.15 (0.63-1.67),79,86.81,5.27 (4.85-5.70)
da like neurons 11,408.0,0.094,19.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79)
GABA neurons expressing GABA receptors 13,238.0,0.158,46.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450.0,0.156,32.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,676.0,0.293,53.0,110,3,2.73,2.30 (1.63-2.96),107,97.27,5.10 (4.65-5.55)
GABA like neurons 14,3052.0,0.178,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.147,55.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.235,82.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,130.0,0.617,95.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.211,8.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,377.0,0.134,37.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,153.0,0.331,40.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398.0,0.17,57.0,138,5,3.62,1.85 (0.64-3.06),133,96.38,4.96 (4.59-5.32)
astrocytes microglia 23,134.0,0.191,2.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,752.0,0.124,13.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261.0,0.137,22.0,42,2,4.76,1.74 (1.73-1.75),40,95.24,4.22 (3.51-4.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.298,87.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,347.0,0.29,84.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
