tipo_celular,module_size,ENOX2_MM,ENOX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.135,34.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.194,78.0,98,6,6.12,1.28 (0.27-2.29),92,93.88,3.25 (2.94-3.57)
astrocytes 5,1141.0,0.097,11.0,166,3,1.81,0.52 (0.18-0.87),163,98.19,3.45 (3.21-3.70)
oligodendrocyte progenitor cells 7,229.0,0.179,43.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.168,54.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30)
da like neurons 11,408.0,0.176,52.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.173,40.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.062,11.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.171,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.228,71.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.15,66.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.179,85.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.428,97.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,367.0,0.248,94.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,91.0,0.075,0.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.258,18.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.116,9.0,104,4,3.85,0.88 (0.14-1.62),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,479.0,0.167,62.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.129,63.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.195,95.0,111,1,0.9,7.59 (NA-NA),110,99.1,3.26 (2.92-3.60)
oligodendrocytes 2,348.0,0.227,62.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
