tipo_celular,module_size,RIC3_MM,RIC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.134,54.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,628.0,0.171,54.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.193,71.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.102,31.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,71.0,0.078,8.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.081,5.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.111,42.0,169,5,2.96,2.14 (0.67-3.61),164,97.04,3.53 (3.31-3.75)
GABA like neurons 14,3052.0,0.142,54.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.05,21.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.068,32.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.065,13.0,261,9,3.45,5.52 (4.02-7.02),252,96.55,4.32 (4.07-4.56)
connective tissue cells 21,183.0,0.343,75.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,367.0,0.172,70.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,61.0,0.096,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.077,13.0,122,14,11.48,3.24 (1.70-4.78),108,88.52,4.11 (3.73-4.49)
astrocytes microglia 23,61.0,0.313,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.131,15.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,309.0,0.126,40.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.065,22.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,1630.0,0.123,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
