tipo_celular,module_size,PPIL4_MM,PPIL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.118,19.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,477.0,0.196,72.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.124,65.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,18,5.1,1.65 (1.12-2.19),335,94.9,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,400.0,0.101,6.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,71.0,0.244,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.132,71.0,275,18,6.55,1.65 (1.12-2.19),257,93.45,4.19 (3.93-4.45)
oligodendrocytes 20,938.0,0.093,33.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,3052.0,0.163,70.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.101,32.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,11,3.99,2.11 (1.55-2.66),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,483.0,0.075,26.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,152.0,0.191,16.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,367.0,0.187,78.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,158.0,0.291,88.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.34,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.152,63.0,104,12,11.54,1.98 (1.41-2.54),92,88.46,2.99 (2.69-3.29)
oligodendrocytes 0,2078.0,0.146,97.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,958.0,0.107,44.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05)
oligodendrocytes 3,681.0,0.071,27.0,87,11,12.64,1.98 (1.30-2.66),76,87.36,2.68 (2.39-2.97)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
