tipo_celular,module_size,BCL2L14_MM,BCL2L14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.177,56.0,128,5,3.91,4.41 (4.23-4.58),123,96.09,3.52 (3.16-3.88)
oligodendrocyte progenitor cells 7,628.0,0.235,79.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.142,44.0,155,1,0.65,3.13 (NA-NA),154,99.35,4.35 (3.98-4.72)
oligodendrocytes 20,221.0,0.225,60.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,260.0,0.124,51.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,1049.0,0.135,71.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.09,37.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.105,47.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,113.0,0.14,22.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.311,47.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,208.0,0.193,49.0,173,5,2.89,4.41 (4.23-4.58),168,97.11,3.77 (3.46-4.08)
oligodendrocytes 0,86.0,0.197,70.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.117,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.143,15.0,175,6,3.43,3.59 (2.55-4.63),169,96.57,4.42 (4.06-4.78)
