tipo_celular,module_size,GJA1_MM,GJA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.255,79.0,128,3,2.34,4.23 (3.32-5.15),125,97.66,3.55 (3.21-3.90)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.26,76.0,155,7,4.52,5.18 (3.10-7.25),148,95.48,4.30 (3.94-4.67)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.305,65.0,78,31,39.74,3.63 (3.06-4.21),47,60.26,4.87 (4.34-5.40)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.331,71.0,32,5,15.62,4.51 (2.64-6.38),27,84.38,5.24 (4.56-5.92)
astrocytes 15,418.0,0.603,98.0,54,12,22.22,3.17 (2.64-3.70),42,77.78,3.85 (3.30-4.40)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.357,78.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,208.0,0.265,75.0,173,9,5.2,4.75 (3.71-5.79),164,94.8,3.74 (3.44-4.05)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
