tipo_celular,module_size,UNC5C_MM,UNC5C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.509,94.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,436.0,0.112,38.0,219,36,16.44,5.26 (4.50-6.03),183,83.56,5.20 (4.89-5.51)
GABA neurons expressing GLU receptors 22,459.0,0.253,81.0,165,18,10.91,4.08 (3.21-4.94),147,89.09,5.19 (4.82-5.56)
GLU like neurons 17,795.0,0.348,96.0,80,9,11.25,3.14 (1.94-4.35),71,88.75,5.82 (5.42-6.22)
da like neurons 11,153.0,0.449,99.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.431,83.0,74,22,29.73,5.67 (4.63-6.71),52,70.27,5.38 (4.72-6.04)
oligodendrocytes 20,676.0,0.541,83.0,110,31,28.18,5.39 (4.58-6.19),79,71.82,4.85 (4.31-5.38)
GABA like neurons 14,1300.0,0.182,38.0,306,47,15.36,4.44 (3.68-5.20),259,84.64,5.22 (4.95-5.50)
astrocytes 8,771.0,0.713,98.0,48,7,14.58,8.06 (7.63-8.49),41,85.42,3.90 (3.20-4.59)
oligodendrocyte progenitor cells 12,708.0,0.292,87.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.511,79.0,92,3,3.26,3.80 (1.31-6.29),89,96.74,5.81 (5.34-6.28)
connective tissue cells 21,250.0,0.431,74.0,117,32,27.35,4.62 (3.75-5.49),85,72.65,5.70 (5.30-6.11)
astrocytes 15,458.0,0.3,93.0,36,8,22.22,8.14 (7.87-8.41),28,77.78,2.61 (1.87-3.36)
oligodendrocytes 16,199.0,0.154,39.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.323,44.0,29,3,10.34,4.86 (3.41-6.31),26,89.66,7.09 (6.50-7.67)
astrocytes 4,102.0,0.286,76.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,479.0,0.267,94.0,40,14,35.0,6.34 (5.17-7.50),26,65.0,5.62 (5.13-6.10)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.186,93.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.417,98.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
