tipo_celular,module_size,TIMMDC1_MM,TIMMDC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.157,49.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.126,67.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,17,4.82,1.52 (1.04-2.01),336,95.18,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,459.0,0.083,12.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316.0,0.103,31.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,408.0,0.099,22.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.05,1.0,302,8,2.65,2.03 (1.77-2.30),294,97.35,4.05 (3.83-4.28)
oligodendrocytes 20,275.0,0.181,42.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.101,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.035,4.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,10,3.62,2.11 (1.58-2.64),266,96.38,3.61 (3.39-3.84)
oligodendrocytes 10,735.0,0.062,21.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,145.0,0.298,53.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.12,78.0,105,8,7.62,1.76 (1.33-2.19),97,92.38,3.34 (2.99-3.69)
oligodendrocytes 16,104.0,0.229,60.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.307,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.151,62.0,104,9,8.65,1.97 (1.28-2.65),95,91.35,2.95 (2.66-3.25)
oligodendrocytes 0,2078.0,0.116,55.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.082,12.0,161,15,9.32,1.47 (0.93-2.01),146,90.68,3.50 (3.24-3.77)
oligodendrocytes 3,681.0,0.071,27.0,87,10,11.49,1.82 (1.15-2.50),77,88.51,2.69 (2.40-2.98)
oligodendrocytes 2,1630.0,0.155,76.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
