tipo_celular,module_size,COPE_MM,COPE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.194,69.0,213,17,7.98,1.34 (0.87-1.81),196,92.02,4.04 (3.81-4.27)
endothelial cells 9,916.0,0.282,68.0,302,10,3.31,2.75 (1.94-3.55),292,96.69,4.04 (3.81-4.27)
oligodendrocytes 20,938.0,0.244,90.0,169,14,8.28,2.79 (2.12-3.46),155,91.72,3.56 (3.33-3.79)
GABA like neurons 14,2402.0,0.508,89.0,455,40,8.79,3.03 (2.52-3.53),415,91.21,4.52 (4.33-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.174,82.0,277,4,1.44,4.76 (4.35-5.17),273,98.56,3.88 (3.63-4.12)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.298,95.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.224,81.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,110.0,0.437,95.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.166,47.0,252,27,10.71,2.26 (1.76-2.77),225,89.29,4.39 (4.14-4.64)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.135,50.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.307,63.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
