tipo_celular,module_size,FAM171A1_MM,FAM171A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.287,80.0,98,5,5.1,4.61 (2.09-7.12),93,94.9,4.60 (4.19-5.01)
oligodendrocyte progenitor cells 7,200.0,0.293,87.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,567.0,0.214,61.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,1247.0,0.265,95.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.461,92.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.25,61.0,74,3,4.05,3.88 (1.74-6.02),71,95.95,5.57 (5.00-6.13)
oligodendrocytes 20,275.0,0.111,16.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.275,79.0,306,21,6.86,3.32 (2.37-4.27),285,93.14,5.28 (5.02-5.54)
astrocytes 8,279.0,0.357,90.0,78,6,7.69,3.16 (2.31-4.00),72,92.31,4.43 (3.99-4.87)
oligodendrocyte progenitor cells 12,708.0,0.277,85.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,130.0,0.603,92.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,110.0,0.301,68.0,13,0,0.0,NA,13,100.0,3.11 (2.29-3.94)
astrocytes 15,208.0,0.463,85.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,153.0,0.349,46.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.295,72.0,30,3,10.0,3.92 (-0.36-8.19),27,90.0,5.94 (5.15-6.73)
astrocytes 4,251.0,0.226,86.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,261.0,0.154,31.0,42,11,26.19,3.72 (2.46-4.97),31,73.81,4.24 (3.41-5.08)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.272,63.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,347.0,0.284,82.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
