tipo_celular,module_size,HSPBAP1_MM,HSPBAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.175,61.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624.0,0.12,24.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.093,18.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.177,36.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,1247.0,0.088,18.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289.0,0.134,28.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.413,92.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.136,47.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.134,58.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.136,46.0,358,3,0.84,1.67 (0.52-2.82),355,99.16,3.88 (3.69-4.08)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.101,64.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91.0,0.197,43.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.233,11.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.16,79.0,104,3,2.88,1.67 (0.52-2.82),101,97.12,2.90 (2.62-3.19)
oligodendrocytes 0,2078.0,0.112,45.0,238,1,0.42,2.53 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,1615.0,0.163,94.0,161,3,1.86,1.67 (0.52-2.82),158,98.14,3.31 (3.04-3.58)
oligodendrocytes 3,854.0,0.086,45.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
