tipo_celular,module_size,PDE3B_MM,PDE3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.235,53.0,140,18,12.86,3.18 (2.70-3.66),122,87.14,4.78 (4.48-5.08)
T cells 18,518.0,0.234,88.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.16,85.0,353,26,7.37,1.99 (1.37-2.61),327,92.63,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,714.0,0.272,86.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.11,38.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12)
da like neurons 11,191.0,0.169,30.0,93,6,6.45,3.79 (2.48-5.11),87,93.55,5.79 (5.39-6.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.216,94.0,297,2,0.67,4.51 (0.62-8.39),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.256,73.0,306,29,9.48,2.96 (2.41-3.52),277,90.52,5.41 (5.15-5.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.435,94.0,32,9,28.12,1.36 (0.44-2.29),23,71.88,4.00 (3.12-4.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.369,66.0,120,36,30.0,2.77 (2.24-3.29),84,70.0,4.04 (3.71-4.36)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.227,66.0,163,12,7.36,3.20 (2.59-3.80),151,92.64,3.74 (3.46-4.02)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
