tipo_celular,module_size,ZNF718_MM,ZNF718_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.17,63.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727.0,0.132,40.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.113,46.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,487.0,0.174,31.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,1316.0,0.123,50.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,172.0,0.101,9.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.116,41.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,279.0,0.262,67.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.105,21.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.143,71.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,27,9.78,1.70 (1.48-1.92),249,90.22,3.81 (3.59-4.04)
oligodendrocytes 10,2107.0,0.279,86.0,358,30,8.38,1.64 (1.41-1.87),328,91.62,4.14 (3.96-4.33)
connective tissue cells 21,92.0,0.364,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.073,38.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,84.0,0.17,43.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.242,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.166,76.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.101,10.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71)
microglia 1,1615.0,0.133,79.0,161,26,16.15,1.70 (1.45-1.94),135,83.85,3.66 (3.37-3.94)
oligodendrocytes 3,854.0,0.106,68.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.117,19.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
