tipo_celular,module_size,SERF2_MM,SERF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.239,49.0,98,0,0.0,NA,98,100.0,3.21 (2.74-3.68)
T cells 18,506,0.41,87.0,225,0,0.0,NA,225,100.0,3.61 (3.36-3.86)
astrocytes 5,328,0.331,89.0,128,1,0.78,5.15 (NA-NA),127,99.22,3.55 (3.21-3.90)
oligodendrocyte progenitor cells 7,628,0.248,82.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,400,0.308,91.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11)
GLU like neurons 17,685,0.274,89.0,135,1,0.74,1.18 (NA-NA),134,99.26,3.21 (2.90-3.51)
da like neurons 11,1220,0.404,93.0,410,1,0.24,5.15 (NA-NA),409,99.76,4.24 (4.06-4.43)
GABA neurons expressing GABA receptors 13,417,0.286,95.0,213,7,3.29,1.21 (-0.10-2.51),206,96.71,3.87 (3.63-4.10)
endothelial cells 9,916,0.659,100.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938,0.243,89.0,169,1,0.59,5.15 (NA-NA),168,99.41,3.47 (3.25-3.69)
GABA like neurons 14,2402,0.592,95.0,455,8,1.76,1.17 (0.04-2.31),447,98.24,4.42 (4.24-4.60)
astrocytes 8,603,0.28,97.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049,0.268,90.0,235,1,0.43,5.15 (NA-NA),234,99.57,3.82 (3.58-4.05)
oligodendrocytes 10,483,0.378,89.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,301,0.585,91.0,158,1,0.63,5.15 (NA-NA),157,99.37,4.24 (3.87-4.61)
astrocytes 15,458,0.058,24.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,96,0.341,91.0,102,2,1.96,0.67 (0.11-1.22),100,98.04,3.41 (3.08-3.74)
da neurons 6,729,0.343,99.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137,0.455,82.0,188,4,2.13,0.66 (0.31-1.00),184,97.87,4.46 (4.12-4.79)
astrocytes 4,208,0.288,80.0,173,1,0.58,5.15 (NA-NA),172,99.42,3.78 (3.48-4.09)
oligodendrocytes 0,546,0.342,94.0,252,8,3.17,1.47 (0.20-2.74),244,96.83,4.20 (3.96-4.45)
microglia 1,406,0.407,78.0,278,1,0.36,2.92 (NA-NA),277,99.64,4.37 (4.10-4.64)
oligodendrocytes 3,303,0.349,100.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.536,96.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
