tipo_celular,module_size,TPD52L2_MM,TPD52L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.227,63.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.096,16.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,666.0,0.105,9.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,703.0,0.205,61.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.063,6.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.066,0.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.081,23.0,275,7,2.55,1.39 (0.65-2.12),268,97.45,4.05 (3.79-4.31)
oligodendrocytes 20,295.0,0.283,81.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.14,40.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.087,57.0,66,3,4.55,0.73 (0.21-1.25),63,95.45,3.36 (2.95-3.78)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,8,2.9,1.49 (0.83-2.15),268,97.1,3.61 (3.39-3.83)
oligodendrocytes 10,735.0,0.081,38.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,118.0,0.361,76.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,443.0,0.111,19.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,156.0,0.217,64.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.375,84.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.128,12.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.13,82.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,480.0,0.109,8.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,639.0,0.076,33.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23)
oligodendrocytes 2,1630.0,0.152,70.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
