tipo_celular,module_size,CMPK1_MM,CMPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.185,72.0,71,3,4.23,1.26 (0.15-2.37),68,95.77,2.69 (2.27-3.12)
T cells 18,727.0,0.141,47.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.107,7.0,251,15,5.98,3.88 (3.79-3.98),236,94.02,4.08 (3.82-4.34)
GABA neurons expressing GLU receptors 22,400.0,0.212,58.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11)
GLU like neurons 17,1316.0,0.104,32.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220.0,0.124,26.0,410,24,5.85,3.66 (3.32-4.00),386,94.15,4.29 (4.09-4.49)
GABA neurons expressing GABA receptors 13,70.0,0.156,35.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,385.0,0.124,66.0,275,27,9.82,1.65 (1.18-2.12),248,90.18,4.27 (4.01-4.52)
oligodendrocytes 20,330.0,0.102,21.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,2402.0,0.361,75.0,455,37,8.13,2.67 (2.15-3.18),418,91.87,4.53 (4.34-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.075,38.0,235,16,6.81,3.97 (3.81-4.14),219,93.19,3.81 (3.56-4.06)
oligodendrocytes 10,735.0,0.191,86.0,277,12,4.33,3.88 (3.78-3.98),265,95.67,3.89 (3.64-4.15)
connective tissue cells 21,125.0,0.282,44.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,123.0,0.194,34.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,553.0,0.092,22.0,124,5,4.03,2.76 (1.55-3.98),119,95.97,4.27 (3.86-4.67)
astrocytes microglia 23,39.0,0.36,61.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.117,22.0,127,3,2.36,2.92 (2.06-3.77),124,97.64,3.06 (2.63-3.49)
microglia 1,958.0,0.078,7.0,290,4,1.38,2.52 (1.44-3.61),286,98.62,3.84 (3.61-4.07)
oligodendrocytes 3,743.0,0.064,22.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.178,35.0,175,7,4.0,3.80 (3.17-4.43),168,96.0,4.39 (4.04-4.75)
