tipo_celular,module_size,ATRN_MM,ATRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.232,78.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,624,0.134,34.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.12,33.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285,0.167,92.0,353,8,2.27,1.08 (0.31-1.84),345,97.73,3.97 (3.79-4.16)
GABA neurons expressing GLU receptors 22,703,0.208,62.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.145,67.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853,0.156,66.0,133,4,3.01,0.46 (0.38-0.54),129,96.99,3.36 (3.05-3.66)
GABA neurons expressing GABA receptors 13,357,0.204,67.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.111,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271,0.13,27.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090,0.196,77.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,218,0.044,16.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708,0.137,61.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107,0.144,49.0,358,7,1.96,0.91 (0.11-1.71),351,98.04,3.94 (3.75-4.13)
connective tissue cells 21,145,0.203,7.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377,0.179,71.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,51,0.236,52.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,518,0.16,85.0,122,11,9.02,1.30 (0.53-2.08),111,90.98,4.21 (3.82-4.59)
astrocytes microglia 23,253,0.301,79.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,721,0.145,39.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.131,29.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.123,68.0,161,7,4.35,0.91 (0.11-1.71),154,95.65,3.40 (3.14-3.67)
oligodendrocytes 3,639,0.073,29.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804,0.126,19.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
