tipo_celular,module_size,ZNF846_MM,ZNF846_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.088,7.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.199,87.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.138,84.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,599.0,0.493,100.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.102,27.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.134,53.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.179,67.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.067,35.0,66,5,7.58,2.29 (0.88-3.69),61,92.42,3.32 (2.88-3.75)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.198,20.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.048,12.0,105,13,12.38,1.36 (0.97-1.76),92,87.62,3.50 (3.16-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,53.0,0.336,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.181,97.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.182,98.0,161,33,20.5,2.05 (1.72-2.37),128,79.5,3.68 (3.38-3.98)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
