tipo_celular,module_size,PIAS4_MM,PIAS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.123,71.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,95,26.91,2.92 (2.63-3.22),258,73.09,4.38 (4.17-4.58)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.041,1.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.082,39.0,33,6,18.18,3.07 (2.78-3.36),27,81.82,2.65 (2.05-3.25)
GABA like neurons 14,2090.0,0.164,57.0,74,19,25.68,2.83 (2.32-3.33),55,74.32,2.99 (2.50-3.48)
astrocytes 8,1266.0,0.056,21.0,66,22,33.33,2.21 (1.63-2.79),44,66.67,3.86 (3.39-4.33)
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,69,25.0,2.72 (2.42-3.02),207,75.0,3.90 (3.64-4.17)
oligodendrocytes 10,1277.0,0.018,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.064,27.0,105,37,35.24,2.91 (2.42-3.40),68,64.76,3.40 (2.95-3.84)
oligodendrocytes 16,74.0,0.184,44.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.34,63.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,1807.0,0.148,57.0,104,37,35.58,2.41 (2.01-2.81),67,64.42,3.14 (2.78-3.51)
oligodendrocytes 0,2078.0,0.092,11.0,238,38,15.97,3.48 (3.03-3.93),200,84.03,3.67 (3.42-3.92)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.046,6.0,87,57,65.52,2.56 (2.27-2.86),30,34.48,2.63 (2.03-3.23)
oligodendrocytes 2,1630.0,0.148,63.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52)
