tipo_celular,module_size,SPOCK1_MM,SPOCK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.241,76.0,58,11,18.97,3.86 (2.93-4.80),47,81.03,4.26 (3.78-4.74)
oligodendrocyte progenitor cells 7,229.0,0.068,6.0,45,4,8.89,4.80 (4.77-4.83),41,91.11,5.02 (4.36-5.67)
GABA neurons expressing GLU receptors 22,459.0,0.135,38.0,165,16,9.7,3.65 (2.37-4.94),149,90.3,5.25 (4.91-5.59)
GLU like neurons 17,637.0,0.352,88.0,91,16,17.58,2.62 (1.75-3.49),75,82.42,5.14 (4.60-5.67)
da like neurons 11,408.0,0.459,89.0,25,8,32.0,1.70 (0.64-2.75),17,68.0,6.56 (5.46-7.65)
GABA neurons expressing GABA receptors 13,288.0,0.209,65.0,93,40,43.01,4.49 (3.86-5.13),53,56.99,5.78 (5.08-6.49)
endothelial cells 9,450.0,0.69,97.0,74,25,33.78,5.68 (4.91-6.45),49,66.22,5.34 (4.58-6.10)
oligodendrocytes 20,676.0,0.322,58.0,110,36,32.73,4.75 (4.04-5.47),74,67.27,5.14 (4.57-5.71)
GABA like neurons 14,1300.0,0.12,13.0,306,50,16.34,4.22 (3.59-4.85),256,83.66,5.31 (5.03-5.59)
astrocytes 8,771.0,0.372,86.0,48,5,10.42,5.16 (2.28-8.04),43,89.58,4.35 (3.56-5.13)
oligodendrocyte progenitor cells 12,708.0,0.113,51.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.468,60.0,92,5,5.43,6.14 (4.26-8.02),87,94.57,5.68 (5.19-6.17)
connective tissue cells 21,250.0,0.791,97.0,117,32,27.35,4.31 (3.68-4.94),85,72.65,5.84 (5.39-6.30)
astrocytes 15,458.0,0.168,78.0,36,4,11.11,7.59 (NA-NA),32,88.89,3.60 (2.52-4.68)
oligodendrocytes 16,113.0,0.137,19.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.279,58.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.199,63.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,1186.0,0.131,29.0,300,3,1.0,3.17 (2.55-3.79),297,99.0,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.24,99.0,87,13,14.94,1.97 (1.42-2.53),74,85.06,2.70 (2.40-3.00)
oligodendrocytes 2,348.0,0.431,96.0,114,40,35.09,5.10 (4.52-5.67),74,64.91,5.12 (4.56-5.69)
