tipo_celular,module_size,TSNARE1_MM,TSNARE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.179,64.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.116,51.0,136,2,1.47,3.10 (2.74-3.46),134,98.53,3.21 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,27,7.65,2.63 (2.15-3.10),326,92.35,4.03 (3.83-4.22)
GABA neurons expressing GLU receptors 22,1069.0,0.158,45.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.185,48.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,197.0,0.137,27.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.11,42.0,169,9,5.33,2.42 (1.51-3.33),160,94.67,3.55 (3.33-3.78)
GABA like neurons 14,2090.0,0.176,65.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,260.0,0.042,9.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,18,6.52,2.85 (2.33-3.37),258,93.48,3.61 (3.37-3.84)
oligodendrocytes 10,1277.0,0.082,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,101.0,0.433,96.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,377.0,0.253,93.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,105.0,0.296,88.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.318,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.188,99.0,104,9,8.65,2.40 (1.38-3.42),95,91.35,2.91 (2.62-3.20)
oligodendrocytes 0,2078.0,0.112,44.0,238,9,3.78,2.85 (2.02-3.68),229,96.22,3.67 (3.45-3.90)
microglia 1,346.0,0.155,55.0,43,1,2.33,3.28 (NA-NA),42,97.67,3.78 (3.26-4.30)
oligodendrocytes 3,681.0,0.096,52.0,87,5,5.75,2.17 (0.80-3.54),82,94.25,2.61 (2.33-2.89)
oligodendrocytes 2,1630.0,0.158,82.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
