tipo_celular,module_size,EIF2S3_MM,EIF2S3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.153,45.0,97,3,3.09,2.58 (2.53-2.62),94,96.91,3.07 (2.67-3.48)
T cells 18,518.0,0.129,30.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.141,87.0,136,8,5.88,1.96 (1.27-2.65),128,94.12,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,29,8.22,2.03 (1.49-2.57),324,91.78,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,703.0,0.13,20.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,685.0,0.077,14.0,135,24,17.78,1.85 (1.34-2.36),111,82.22,3.39 (3.07-3.72)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.096,42.0,275,43,15.64,2.31 (1.83-2.80),232,84.36,4.30 (4.03-4.57)
oligodendrocytes 20,275.0,0.303,80.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,727.0,0.066,23.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,17,6.16,1.65 (1.25-2.06),259,93.84,3.70 (3.48-3.92)
oligodendrocytes 10,483.0,0.1,43.0,129,16,12.4,3.66 (3.20-4.13),113,87.6,3.39 (2.93-3.84)
connective tissue cells 21,136.0,0.396,91.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,367.0,0.151,55.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,108.0,0.132,16.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.284,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.173,86.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.138,92.0,238,4,1.68,2.73 (0.57-4.88),234,98.32,3.65 (3.43-3.88)
microglia 1,958.0,0.101,34.0,290,9,3.1,2.65 (2.14-3.15),281,96.9,3.86 (3.62-4.09)
oligodendrocytes 3,743.0,0.056,15.0,76,3,3.95,3.66 (1.58-5.75),73,96.05,3.14 (2.74-3.55)
oligodendrocytes 2,1630.0,0.145,58.0,154,7,4.55,3.38 (2.39-4.37),147,95.45,3.24 (2.96-3.51)
