tipo_celular,module_size,ZBTB41_MM,ZBTB41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.156,97.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,28,7.93,1.79 (1.53-2.04),325,92.07,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,400.0,0.339,93.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,1316.0,0.059,5.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,142.0,0.121,19.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,70.0,0.361,100.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,1653.0,0.063,4.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,250.0,0.022,4.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.126,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520.0,0.061,20.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,27,9.78,1.70 (1.48-1.92),249,90.22,3.81 (3.59-4.04)
oligodendrocytes 10,806.0,0.054,9.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.071,33.0,105,10,9.52,1.05 (0.78-1.32),95,90.48,3.46 (3.13-3.80)
oligodendrocytes 16,64.0,0.216,67.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,553.0,0.164,71.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,131.0,0.293,37.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.145,52.0,104,15,14.42,1.32 (1.03-1.60),89,85.58,3.15 (2.86-3.44)
oligodendrocytes 0,2078.0,0.121,64.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.076,42.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.143,61.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
