tipo_celular,module_size,ZNF141_MM,ZNF141_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.182,47.0,102,20,19.61,2.11 (1.64-2.57),82,80.39,3.86 (3.46-4.26)
T cells 18,477.0,0.123,23.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.131,37.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,35,9.92,2.13 (1.81-2.46),318,90.08,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,192.0,0.132,53.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1316.0,0.061,5.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.125,46.0,133,43,32.33,2.50 (2.17-2.84),90,67.67,3.72 (3.29-4.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.212,58.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,271.0,0.04,4.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.104,21.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.121,59.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,28,10.14,1.77 (1.51-2.02),248,89.86,3.81 (3.59-4.04)
oligodendrocytes 10,2107.0,0.139,47.0,358,43,12.01,2.27 (1.92-2.62),315,87.99,4.17 (3.97-4.36)
connective tissue cells 21,103.0,0.276,51.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1768.0,0.095,58.0,105,12,11.43,1.31 (0.90-1.73),93,88.57,3.48 (3.14-3.82)
oligodendrocytes 16,74.0,0.207,64.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.307,42.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,514.0,0.16,35.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.141,94.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,1615.0,0.09,22.0,161,32,19.88,2.05 (1.72-2.39),129,80.12,3.66 (3.36-3.96)
oligodendrocytes 3,681.0,0.065,20.0,87,36,41.38,2.49 (2.12-2.86),51,58.62,2.66 (2.27-3.05)
oligodendrocytes 2,1630.0,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
