tipo_celular,module_size,CDK5RAP3_MM,CDK5RAP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.107,35.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.082,3.0,353,77,21.81,2.54 (2.20-2.87),276,78.19,4.39 (4.21-4.57)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.104,39.0,169,23,13.61,3.51 (2.78-4.25),146,86.39,3.48 (3.25-3.70)
GABA like neurons 14,3052.0,0.189,87.0,125,5,4.0,3.53 (2.52-4.54),120,96.0,3.35 (3.02-3.68)
astrocytes 8,603.0,0.105,67.0,89,8,8.99,1.96 (0.77-3.14),81,91.01,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,1049.0,0.046,13.0,235,8,3.4,5.23 (3.66-6.79),227,96.6,3.77 (3.54-4.00)
oligodendrocytes 10,483.0,0.039,6.0,129,2,1.55,3.96 (NA-NA),127,98.45,3.42 (3.03-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.074,38.0,96,17,17.71,3.57 (2.71-4.43),79,82.29,3.62 (3.10-4.14)
oligodendrocytes 16,74.0,0.239,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.36,71.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.126,20.0,104,31,29.81,2.06 (1.68-2.44),73,70.19,3.24 (2.91-3.58)
oligodendrocytes 0,2078.0,0.099,21.0,238,22,9.24,3.00 (2.47-3.52),216,90.76,3.71 (3.47-3.95)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.035,0.0,154,2,1.3,8.28 (NA-NA),152,98.7,3.58 (3.27-3.89)
oligodendrocytes 2,1630.0,0.123,17.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
