tipo_celular,module_size,MBD5_MM,MBD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.152,25.0,140,15,10.71,2.98 (2.54-3.42),125,89.29,4.78 (4.48-5.07)
T cells 18,388.0,0.128,37.0,84,2,2.38,3.61 (NA-NA),82,97.62,2.97 (2.63-3.30)
astrocytes 5,222.0,0.149,24.0,98,5,5.1,2.51 (1.37-3.64),93,94.9,4.73 (4.32-5.14)
oligodendrocyte progenitor cells 7,436.0,0.068,12.0,219,8,3.65,3.92 (2.92-4.92),211,96.35,5.29 (4.99-5.58)
GABA neurons expressing GLU receptors 22,459.0,0.113,27.0,165,12,7.27,2.29 (1.71-2.86),153,92.73,5.36 (5.03-5.69)
GLU like neurons 17,795.0,0.108,37.0,80,2,2.5,6.32 (2.49-10.16),78,97.5,5.66 (5.24-6.07)
da like neurons 11,120.0,0.569,100.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.287,100.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.698,96.0,110,10,9.09,2.55 (1.64-3.46),100,90.91,5.35 (4.92-5.79)
GABA like neurons 14,1300.0,0.266,77.0,306,24,7.84,3.36 (2.48-4.25),282,92.16,5.31 (5.05-5.57)
astrocytes 8,279.0,0.311,69.0,78,24,30.77,3.69 (3.05-4.33),54,69.23,4.66 (4.15-5.18)
oligodendrocyte progenitor cells 12,103.0,0.105,16.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,236.0,0.257,7.0,82,9,10.98,3.29 (2.90-3.68),73,89.02,5.27 (4.70-5.84)
connective tissue cells 21,147.0,0.253,60.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418.0,0.453,87.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15)
oligodendrocytes 16,287.0,0.351,62.0,105,11,10.48,2.51 (1.69-3.33),94,89.52,5.55 (5.15-5.96)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.256,36.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,220.0,0.146,37.0,63,11,17.46,3.54 (2.46-4.62),52,82.54,5.60 (5.02-6.18)
oligodendrocytes 0,261.0,0.231,81.0,42,10,23.81,1.86 (1.10-2.62),32,76.19,5.06 (4.49-5.64)
microglia 1,315.0,0.192,61.0,144,10,6.94,3.33 (2.58-4.08),134,93.06,4.56 (4.24-4.88)
oligodendrocytes 3,116.0,0.251,30.0,7,3,42.86,2.70 (-0.72-6.13),4,57.14,5.23 (3.06-7.40)
oligodendrocytes 2,347.0,0.232,66.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
