tipo_celular,module_size,ACOX1_MM,ACOX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.12,57.0,136,4,2.94,1.28 (1.19-1.36),132,97.06,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,28,7.93,1.84 (1.20-2.48),325,92.07,4.11 (3.93-4.28)
GABA neurons expressing GLU receptors 22,714.0,0.067,2.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.083,8.0,410,8,1.95,2.80 (1.93-3.68),402,98.05,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.156,40.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,403.0,0.046,14.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,3052.0,0.09,12.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,603.0,0.04,11.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,15,5.43,2.30 (1.30-3.31),261,94.57,3.63 (3.41-3.85)
oligodendrocytes 10,735.0,0.083,40.0,277,2,0.72,3.95 (2.92-4.98),275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,142.0,0.34,64.0,55,4,7.27,0.69 (0.28-1.11),51,92.73,3.87 (3.02-4.72)
astrocytes 15,1768.0,0.105,67.0,105,14,13.33,1.66 (1.21-2.11),91,86.67,3.47 (3.12-3.83)
oligodendrocytes 16,61.0,0.252,77.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.061,3.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,96.0,0.369,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,70.0,104,13,12.5,1.56 (1.04-2.08),91,87.5,3.07 (2.77-3.36)
oligodendrocytes 0,2078.0,0.102,25.0,238,6,2.52,2.07 (1.17-2.97),232,97.48,3.68 (3.46-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.054,17.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.166,92.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
