tipo_celular,module_size,PPP2R5B_MM,PPP2R5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.078,5.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,296.0,0.114,11.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.231,58.0,262,2,0.76,1.13 (-0.01-2.27),260,99.24,4.19 (3.95-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.156,41.0,410,3,0.73,1.02 (0.32-1.71),407,99.27,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,200.0,0.135,37.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,916.0,0.047,1.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.066,21.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,2402.0,0.155,27.0,455,10,2.2,0.73 (0.45-1.01),445,97.8,4.46 (4.28-4.63)
astrocytes 8,520.0,0.112,48.0,288,3,1.04,1.02 (0.32-1.71),285,98.96,4.22 (4.02-4.41)
oligodendrocyte progenitor cells 12,708.0,0.016,0.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,806.0,0.178,57.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.104,67.0,105,4,3.81,1.12 (0.52-1.71),101,96.19,3.30 (2.97-3.64)
oligodendrocytes 16,84.0,0.168,40.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,553.0,0.092,22.0,124,2,1.61,2.23 (-1.35-5.82),122,98.39,4.23 (3.83-4.62)
astrocytes microglia 23,131.0,0.234,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.14,40.0,104,6,5.77,1.12 (0.64-1.60),98,94.23,2.98 (2.70-3.26)
oligodendrocytes 0,2078.0,0.1,22.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.06,14.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,1630.0,0.15,67.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
