tipo_celular,module_size,HNRNPD_MM,HNRNPD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.115,4.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47)
T cells 18,610,0.135,37.0,98,39,39.8,2.03 (1.68-2.39),59,60.2,3.98 (3.65-4.32)
astrocytes 5,1141,0.09,7.0,166,54,32.53,2.98 (2.59-3.38),112,67.47,3.65 (3.33-3.96)
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,88,24.93,2.92 (2.58-3.26),265,75.07,4.36 (4.17-4.54)
GABA neurons expressing GLU receptors 22,848,0.149,23.0,262,13,4.96,2.54 (1.63-3.44),249,95.04,4.28 (4.03-4.53)
GLU like neurons 17,685,0.125,46.0,135,40,29.63,2.60 (2.18-3.01),95,70.37,3.51 (3.11-3.91)
da like neurons 11,153,0.063,2.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.118,22.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,412,0.114,22.0,141,11,7.8,2.76 (1.80-3.71),130,92.2,2.98 (2.73-3.23)
oligodendrocytes 20,676,0.025,5.0,110,9,8.18,2.12 (1.21-3.02),101,91.82,5.37 (4.95-5.78)
GABA like neurons 14,3052,0.158,65.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,727,0.145,71.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.078,50.0,276,59,21.38,2.57 (2.24-2.90),217,78.62,3.92 (3.67-4.17)
oligodendrocytes 10,2107,0.246,81.0,358,103,28.77,2.93 (2.62-3.25),255,71.23,4.44 (4.24-4.64)
connective tissue cells 21,110,0.26,50.0,13,4,30.77,3.12 (1.59-4.64),9,69.23,3.11 (2.07-4.16)
astrocytes 15,338,0.106,16.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,155,0.137,6.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,398,0.07,5.0,138,21,15.22,2.78 (2.06-3.51),117,84.78,5.27 (4.91-5.64)
astrocytes microglia 23,255,0.206,15.0,57,5,8.77,3.00 (2.33-3.67),52,91.23,2.61 (2.22-3.01)
astrocytes 4,752,0.116,7.0,96,24,25.0,3.47 (3.06-3.88),72,75.0,3.21 (2.78-3.65)
oligodendrocytes 0,1186,0.142,44.0,300,23,7.67,4.30 (3.77-4.83),277,92.33,3.74 (3.52-3.96)
microglia 1,958,0.116,58.0,290,40,13.79,4.25 (3.69-4.81),250,86.21,3.72 (3.47-3.97)
oligodendrocytes 3,1003,0.065,16.0,111,15,13.51,5.29 (4.69-5.89),96,86.49,2.96 (2.62-3.30)
oligodendrocytes 2,804,0.143,40.0,84,9,10.71,1.76 (0.94-2.58),75,89.29,2.83 (2.48-3.19)
