tipo_celular,module_size,KDM7A_MM,KDM7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.151,14.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,518.0,0.133,32.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,1656.0,0.11,41.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.17,93.0,353,49,13.88,2.11 (1.77-2.45),304,86.12,4.27 (4.09-4.45)
GABA neurons expressing GLU receptors 22,599.0,0.203,46.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.087,17.0,51,1,1.96,4.07 (NA-NA),50,98.04,3.61 (3.02-4.21)
da like neurons 11,140.0,0.141,19.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.209,53.0,120,5,4.17,3.41 (2.82-3.99),115,95.83,4.67 (4.34-4.99)
oligodendrocytes 20,322.0,0.102,39.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.093,14.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.184,74.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.1,75.0,276,44,15.94,2.21 (1.88-2.54),232,84.06,3.86 (3.63-4.10)
oligodendrocytes 10,2107.0,0.106,31.0,358,52,14.53,2.04 (1.71-2.37),306,85.47,4.30 (4.11-4.48)
connective tissue cells 21,86.0,0.315,72.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,1401.0,0.109,71.0,96,4,4.17,2.26 (1.08-3.45),92,95.83,3.68 (3.22-4.15)
oligodendrocytes 16,121.0,0.495,100.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.301,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.128,22.0,104,26,25.0,2.02 (1.57-2.48),78,75.0,3.17 (2.86-3.49)
oligodendrocytes 0,2078.0,0.119,61.0,238,14,5.88,2.79 (2.10-3.48),224,94.12,3.70 (3.47-3.93)
microglia 1,1615.0,0.132,78.0,161,46,28.57,2.08 (1.73-2.43),115,71.43,3.89 (3.60-4.18)
oligodendrocytes 3,357.0,0.043,5.0,127,3,2.36,4.78 (4.03-5.53),124,97.64,3.09 (2.75-3.42)
oligodendrocytes 2,347.0,0.128,11.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
