tipo_celular,module_size,SH3BGRL3_MM,SH3BGRL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.264,79.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,506.0,0.374,83.0,225,11,4.89,2.50 (1.28-3.71),214,95.11,3.65 (3.40-3.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.349,88.0,410,8,1.95,2.99 (1.33-4.64),402,98.05,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.218,79.0,213,23,10.8,1.71 (1.14-2.28),190,89.2,4.03 (3.79-4.26)
endothelial cells 9,916.0,0.484,91.0,302,6,1.99,2.44 (1.15-3.73),296,98.01,4.02 (3.80-4.25)
oligodendrocytes 20,358.0,0.134,41.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.526,90.0,455,21,4.62,1.88 (1.22-2.53),434,95.38,4.48 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.247,95.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,301.0,0.426,63.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.321,95.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.249,88.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,108.0,0.455,92.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.146,35.0,252,20,7.94,1.79 (1.12-2.47),232,92.06,4.30 (4.06-4.54)
microglia 1,406.0,0.247,61.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,457.0,0.165,71.0,345,10,2.9,2.69 (1.68-3.71),335,97.1,4.31 (4.10-4.52)
oligodendrocytes 2,526.0,0.26,49.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
