tipo_celular,module_size,DHRS3_MM,DHRS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.256,66.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,727.0,0.071,3.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,932.0,0.124,72.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.118,29.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.112,73.0,66,11,16.67,1.62 (0.40-2.84),55,83.33,3.61 (3.25-3.97)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,96.0,0.244,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.182,95.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.282,68.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,251.0,0.085,2.0,34,3,8.82,3.23 (1.64-4.83),31,91.18,5.52 (4.94-6.11)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.067,2.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
