tipo_celular,module_size,MICALL2_MM,MICALL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.081,10.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.122,30.0,353,32,9.07,2.52 (1.93-3.11),321,90.93,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.093,20.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.19,81.0,133,14,10.53,2.29 (1.29-3.29),119,89.47,3.39 (3.07-3.71)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.112,21.0,141,11,7.8,3.52 (2.15-4.89),130,92.2,2.91 (2.68-3.14)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.219,86.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.181,72.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.059,26.0,276,21,7.61,2.52 (2.03-3.01),255,92.39,3.66 (3.42-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.265,32.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1401.0,0.085,50.0,96,28,29.17,4.16 (3.43-4.88),68,70.83,3.40 (2.85-3.95)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.275,29.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,251.0,0.194,70.0,34,1,2.94,4.70 (NA-NA),33,97.06,5.27 (4.63-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
