tipo_celular,module_size,EIF4E3_MM,EIF4E3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.137,37.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,11,3.12,1.66 (0.96-2.37),342,96.88,3.97 (3.79-4.16)
GABA neurons expressing GLU receptors 22,1069.0,0.161,48.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.13,56.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289.0,0.189,51.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,266.0,0.106,18.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.19,47.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,3052.0,0.178,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,7,2.54,1.70 (0.99-2.42),269,97.46,3.60 (3.39-3.82)
oligodendrocytes 10,2107.0,0.051,6.0,358,10,2.79,1.66 (0.96-2.37),348,97.21,3.95 (3.75-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,87.0,0.168,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.308,48.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.122,25.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.106,67.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15)
oligodendrocytes 2,347.0,0.158,29.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
