tipo_celular,module_size,SEC31A_MM,SEC31A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.157,53.0,71,13,18.31,3.45 (2.47-4.43),58,81.69,2.43 (1.99-2.88)
T cells 18,477,0.119,21.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.122,35.0,166,4,2.41,1.54 (-0.63-3.71),162,97.59,3.45 (3.20-3.69)
oligodendrocyte progenitor cells 7,4285,0.151,73.0,353,38,10.76,2.64 (2.14-3.14),315,89.24,4.09 (3.90-4.28)
GABA neurons expressing GLU receptors 22,1069,0.111,14.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685,0.216,80.0,135,11,8.15,2.78 (2.16-3.40),124,91.85,3.23 (2.90-3.56)
da like neurons 11,153,0.21,43.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,93,0.149,46.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,303,0.123,31.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,298,0.236,80.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.145,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.188,85.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.108,81.0,276,23,8.33,3.24 (2.69-3.79),253,91.67,3.58 (3.34-3.81)
oligodendrocytes 10,2107,0.065,12.0,358,27,7.54,2.30 (1.74-2.86),331,92.46,4.04 (3.84-4.23)
connective tissue cells 21,85,0.185,4.0,3,1,33.33,NA,2,66.67,1.74 (1.73-1.75)
astrocytes 15,1768,0.123,80.0,105,18,17.14,2.65 (2.02-3.27),87,82.86,3.34 (2.96-3.72)
oligodendrocytes 16,104,0.136,3.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,228,0.084,30.0,2,1,50.0,3.28 (NA-NA),1,50.0,0.95 (NA-NA)
astrocytes microglia 23,92,0.218,8.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,721,0.13,14.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,1186,0.139,40.0,300,2,0.67,2.06 (NA-NA),298,99.33,3.80 (3.59-4.01)
microglia 1,813,0.18,89.0,79,11,13.92,3.28 (2.84-3.72),68,86.08,3.07 (2.60-3.54)
oligodendrocytes 3,1003,0.087,40.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63)
oligodendrocytes 2,921,0.127,32.0,200,11,5.5,3.27 (2.67-3.87),189,94.5,3.65 (3.37-3.93)
