tipo_celular,module_size,BRI3BP_MM,BRI3BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.261,80.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.09,5.0,353,9,2.55,0.82 (0.41-1.23),344,97.45,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.23,75.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.145,69.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.085,9.0,410,2,0.49,1.18 (-0.06-2.43),408,99.51,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,200.0,0.127,29.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.08,27.0,169,2,1.18,1.18 (-0.06-2.43),167,98.82,3.51 (3.30-3.73)
GABA like neurons 14,2402.0,0.122,15.0,455,8,1.76,0.68 (0.33-1.03),447,98.24,4.43 (4.25-4.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.033,3.0,276,3,1.09,1.44 (0.56-2.31),273,98.91,3.57 (3.35-3.79)
oligodendrocytes 10,735.0,0.072,31.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,123.0,0.3,93.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,448.0,0.141,81.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,58.0,0.331,51.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.096,16.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.094,27.0,161,9,5.59,0.82 (0.41-1.23),152,94.41,3.45 (3.19-3.71)
oligodendrocytes 3,242.0,0.058,6.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.152,71.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
