tipo_celular,module_size,RHOT2_MM,RHOT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.101,27.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,31,8.78,2.10 (1.64-2.55),322,91.22,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.22,61.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.089,59.0,89,1,1.12,1.23 (NA-NA),88,98.88,2.78 (2.43-3.14)
oligodendrocyte progenitor cells 12,3303.0,0.046,12.0,276,24,8.7,2.74 (2.18-3.31),252,91.3,3.64 (3.41-3.88)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.122,79.0,105,11,10.48,1.73 (1.24-2.21),94,89.52,3.40 (3.05-3.76)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.286,37.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.159,77.0,104,7,6.73,1.41 (0.63-2.19),97,93.27,2.98 (2.69-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
