tipo_celular,module_size,MKNK1_MM,MKNK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.216,74.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,477.0,0.157,46.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47)
astrocytes 5,932.0,0.099,35.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,39,11.05,2.29 (1.87-2.70),314,88.95,4.16 (3.97-4.34)
GABA neurons expressing GLU receptors 22,1069.0,0.23,88.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.115,35.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,200.0,0.073,1.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.095,23.0,297,5,1.68,3.27 (2.53-4.00),292,98.32,3.68 (3.47-3.89)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.098,13.0,74,2,2.7,2.87 (2.19-3.55),72,97.3,2.94 (2.56-3.33)
astrocytes 8,1266.0,0.065,31.0,66,21,31.82,2.33 (1.69-2.98),45,68.18,3.75 (3.27-4.22)
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,35,12.68,2.63 (2.25-3.01),241,87.32,3.72 (3.48-3.97)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,100.0,0.246,40.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,1768.0,0.042,8.0,105,16,15.24,1.76 (1.31-2.21),89,84.76,3.50 (3.14-3.86)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.241,43.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,721.0,0.145,37.0,61,1,1.64,4.07 (NA-NA),60,98.36,2.95 (2.53-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.168,85.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
